Career rank,Career University,Type,Tuition,Undergrad enrollment,Where they stand out,Top industries,Top locations,Most notable skills,See alumni you may know,Institution,Short name
1,Princeton University,Private,"$65,210",5670,Top 5 school for job placement and entrepreneurship or C-suite experience,"Technology & Internet, Financial Services, Business Consulting & Services","New York City, San Francisco Bay Area, Washington, D.C.","Development Tools (OCaml, Go, AMPL), Scientific Computing, Web Development",https://www.linkedin.com/school/princeton-university/people/,Princeton University,Princeton
2,Duke University,Private,"$66,326",6525,,"Technology & Internet, Financial Services, Business Consulting & Services","New York City, Washington, D.C., Raleigh, N.C.","MATLAB, Web Development, AI Engineering",https://www.linkedin.com/school/duke-university/people/,Duke University,Duke
3,University of Pennsylvania,Private,"$63,204",10500,,"Financial Services, Technology & Internet, Business Consulting & Services","New York City, Philadelphia, Washington, D.C.","Scientific Computing, Data Science, Industrial Design",https://www.linkedin.com/school/university-of-pennsylvania/people/,University of Pennsylvania,Penn
4,Massachusetts Institute of Technology,Private,"$64,310",4535,"Top 5 school for entrepreneurship or C-suite experience, internships and recruiter demand","Technology & Internet, Manufacturing, Research Services","Boston, San Francisco Bay Area, New York City","AI Engineering, Robotics, Web Development",https://www.linkedin.com/school/massachusetts-institute-of-technology/people/,Massachusetts Institute of Technology,MIT
5,Cornell University,Private,"$48,010 (in-state); $71,266 (out-of-state)",16130,,"Technology & Internet, Financial Services, Higher Education","New York City, San Francisco Bay Area, Boston","Scientific Computing, Aerospace Engineering, Animation",https://www.linkedin.com/school/cornell-university/people/,Cornell University,Cornell
6,Harvard University,Private,"$59,320",7100,Top 5 school for entrepreneurship or C-suite experience,"Financial Services, Business Consulting & Services, Technology & Internet","New York City, Boston, San Francisco Bay Area","Data Science, Mathematics, C",https://www.linkedin.com/school/harvard-university/people/,Harvard University,Harvard
7,Babson College,Private,"$58,560",2800,Top 5 school for network strength and entrepreneurship or C-suite experience,"Financial Services, Technology & Internet, Business Consulting & Services","Boston, New York City, Miami","Data Science, Human Computer Interaction, Entrepreneurship",https://www.linkedin.com/school/babson-college/people/,Babson College,Babson
8,University of Notre Dame,Private,"$65,025",8925,Top 5 school for job placement,"Business Consulting & Services, Financial Services, Technology & Internet","Chicago, New York City, Washington, D.C.","Scientific Computing, Economics, Architecture",https://www.linkedin.com/school/university-of-notre-dame/people/,University of Notre Dame,ND
9,Dartmouth College,Private,"$66,123",4450,Top 5 school for network strength,"Financial Services, Technology & Internet, Business Consulting & Services","New York City, Boston, San Francisco Bay Area","MATLAB, SOLIDWORKS, Human Computer Interaction",https://www.linkedin.com/school/dartmouth-college/people/,Dartmouth College,Dartmouth
10,Stanford University,Private,"$65,127",7555,Top 5 school for entrepreneurship or C-suite experience,"Technology & Internet, Research Services, Financial Services","San Francisco Bay Area, New York City, Los Angeles","AI Engineering, MATLAB, Industrial Design",https://www.linkedin.com/school/stanford-university/people/,Stanford University,Stanford
11,Northwestern University,Private,"$67,158",8000,,"Technology & Internet, Business Consulting & Services, Financial Markets","Chicago, New York City, San Francisco Bay Area","MATLAB, SOLIDWORKS, Human Computer Interaction",https://www.linkedin.com/school/northwestern-university/people/,Northwestern University,NU
12,University of Virginia,Public,"$21,123 (in-state); $58,014 (out-of-state)",17900,,"Technology & Internet, Business Consulting & Services, Financial Services","Washington, D.C., New York City, Charlottesville, Va.","Stata, Data Science, 3D Modeling",https://www.linkedin.com/school/university-of-virginia/people/,University of Virginia,UVA
13,Vanderbilt University,Private,"$61,618",7220,Top 5 school for network strength,"Technology & Internet, Business Consulting & Services, Financial Services","New York City, Nashville, Tenn., Washington, D.C.","MATLAB, Chemical Engineering, Technical Communication",https://www.linkedin.com/school/vanderbilt-university/people/,Vanderbilt University,VU
14,Brown University,Private,"$71,700",7270,,"Technology & Internet, Financial Services, Business Consulting & Services","New York City, Boston, San Francisco Bay Area","Development Tools (OCaml, Scala, Racket), Economics, AI Engineering",https://www.linkedin.com/school/brown-university/people/,Brown University,Brown
15,Bentley University,Private,"$63,390",4350,Top 5 school for internships and recruiter demand,"Accounting, Financial Services, Technology & Internet","Boston, New York City, Hartford, Conn.","Data  Storage Technologies, Investment Banking, Project Management",https://www.linkedin.com/school/bentley-university/people/,Bentley University,Bentley
16,Tufts University,Private,"$71,982",6660,,"Technology & Internet, Business Consulting & Services, Financial Services","Boston, New York City, Washington, D.C.","Stata, MATLAB, Animation",https://www.linkedin.com/school/tufts-university/people/,Tufts University,Tufts
17,Lehigh University,Private,"$66,810",5910,,"Technology & Internet, Accounting, Financial Markets","New York City, Philadelphia, Boston","SOLIDWORKS, Scientific Computing, Scala",https://www.linkedin.com/school/lehigh-university/people/,Lehigh University,Lehigh
18,Columbia University,Private,"$71,170",9750,,"Financial Services, Technology & Internet, Business Consulting & Services","New York City, San Francisco Bay Area, Washington, D.C.","Stata, AI Engineering, Foreign Languages",https://www.linkedin.com/school/columbia-university/people/,Columbia University,Columbia
19,Yale University,Private,"$67,250",6740,,"Financial Services, Business Consulting & Services, Technology & Internet","New York City, Boston, Washington, D.C.","Racket (Programming Language), Stata, Foreign Languages",https://www.linkedin.com/school/yale-university/people/,Yale University,Yale
20,Carnegie Mellon University,Private,"$67,020",7450,Top 5 school for internships and recruiter demand,"Technology & Internet, Financial Services, Advertising Services","San Francisco Bay Area, New York City, Pittsburgh","Development Tools (SML, Ruby on Rails, C), 3D Modeling, MATLAB",https://www.linkedin.com/school/carnegie-mellon-university/people/,Carnegie Mellon University,CMU
21,Bucknell University,Private,"$69,976",3920,Top 5 school for job placement,"Technology & Internet, Financial Services, Legal Services","New York City, Washington, D.C., Boston","Materials Science, MATLAB, Environmental Science",https://www.linkedin.com/school/bucknell-university/people/,Bucknell University,Bucknell
22,Boston College,Private,"$72,180",9655,,"Financial Services, Technology & Internet, Hospitals & Healthcare","Boston, New York City, Washington, D.C.","Stata, OCaml, Applied Psychology",https://www.linkedin.com/school/boston-college/people/,Boston College,BC
23,Villanova University,Private,"$69,846",6700,,"Financial Services, Accounting, Hospitals & Healthcare","New York City, Philadelphia, Boston","Scientific Computing, Capital Markets Analysis, Data Science",https://www.linkedin.com/school/villanova-university/people/,Villanova University,Villanova
24,University of Illinois Urbana-Champaign,Public,"$18,046 (in-state); $38,398 (out-of-state)",37140,Top 5 school for knowledge breadth,"Technology & Internet, Higher Education, Accounting","Chicago, San Francisco Bay Area, Urbana, Ill.","SystemVerilog, MATLAB, Data Storage Technologies",https://www.linkedin.com/school/university-of-illinois-urbana-champaign/people/,University of Illinois at Urbana-Champaign,UIUC
25,Wake Forest University,Private,"$70,332",5490,,"Financial Services, Technology & Internet, Legal Services","New York City, Washington, D.C., Charlotte, N.C.","Stata, Data Science, Foreign Languages",https://www.linkedin.com/school/wake-forest-university/people/,Wake Forest University,WFU
26,University of Chicago,Private,"$71,325",7540,,"Financial Services, Business Consulting & Services, Technology & Internet","Chicago, New York City, San Francisco Bay Area","Development Tools (Racket, Haskell, SML), Data Science, Public Policy",https://www.linkedin.com/school/university-of-chicago/people/,University of Chicago,UChicago
27,University of Southern California,Private,"$73,260",21000,,"Technology & Internet, Advertising Services, Media & Telecommunications","Los Angeles, San Francisco Bay Area, New York City","Video Production, Avid Media Composer, Game Development",https://www.linkedin.com/school/university-of-southern-california/people/,University of Southern California,USC
28,Fairfield University,Private,"$59,460",5100,,"Hospitals & Healthcare, Financial Services, Accounting","New York City, Boston, Hartford, Conn.","AI Engineering, Aerospace Engineering, Behavioral Finance",https://www.linkedin.com/school/fairfield-university/people/,Fairfield University,Fairfield
29,Washington and Lee University,Private,"$66,800",1885,Top 5 school for job placement and network strength,"Financial Services, Business Consulting & Services, Financial Services","Washington, D.C., New York City, Atlanta","Stata, Data Science, Research",https://www.linkedin.com/school/washington-and-lee-university/people/,Washington and Lee University,Washington
30,University of California-Berkeley,Public,"$16,832 (in-state); $51,032 (out-of-state)",33070,,"Technology & Internet, Higher Education, Research Services","San Francisco Bay Area, Los Angeles, New York City","Scheme (Programming Language), Data Science, AI Literacy",https://www.linkedin.com/school/university-of-california-berkeley/people/,University of California-Berkeley,UC Berkeley
31,Rice University,Private,"$66,540",4800,,"Technology & Internet, Business Consulting & Services, Higher Education","Houston, San Francisco Bay Area, New York  City","MATLAB, Engineering Design, Data Science",https://www.linkedin.com/school/rice-university/people/,Rice University,Rice
32,Georgetown University,Private,"$64,896",7970,,"Financial Services, Business Consulting & Services, Legal Services","Washington, D.C., New York City, Boston","Stata, Policy Research, Government & International Relations",https://www.linkedin.com/school/georgetown-university/people/,Georgetown University,Georgetown
33,Purdue University,Public,"$9,992 (in-state); $28,794 (out-of-state)",44170,Top 5 school for knowledge breadth,"Manufacturing, Technology & Internet, Higher Education","Indianapolis, Chicago, Lafayette, Ind.","Aerospace Engineering, MATLAB, SOLIDWORKS",https://www.linkedin.com/school/purdue-university/people/,Purdue University,Purdue
34,University of Michigan-Ann Arbor,Public,"$17,736 (in-state); $60,946 (out-of-state)",34455,,"Technology & Internet, Transportation Equipment Manufacturing, Medical Practices","Detroit, New York City, Chicago","MATLAB, Manufacturing Operations, Rhino 3D",https://www.linkedin.com/school/university-of-michigan-ann-arbor/people/,University of Michigan - Ann Arbor,U-M
35,Miami University,Public,"$18,162 (in-state); $40,822 (out-of-state)",20445,,"Technology & Internet, Medical Practices, Business Consulting & Services","Cincinnati, Chicago, Columbus, Ohio","Data Science, Scientific Computing, Advertising",https://www.linkedin.com/school/miami-university/people/,Miami University,Miami
36,Colgate University,Private,"$73,206",3275,Top 5 school for network strength,"Financial Services, Technology & Internet, Legal Services","New York City, Boston, Washington, D.C.","Stata, Ruby on Rails, Foreign Languages",https://www.linkedin.com/school/colgate-university/people/,Colgate University,Colgate
37,Southern Methodist University,Private,"$61,880",7285,,"Financial Services, Business Consulting & Services, Technology & Internet","Dallas, New York City, Los Angeles","AMPL, Avid iNews, Data Science",https://www.linkedin.com/school/southern-methodist-university/people/,Southern Methodist University,SMU
38,Bryant University,Private,"$51,780",3240,Top 5 school for internships and recruiter demand,"Accounting, Financial Services, Insurnace","Boston, New York City, Hartford, Conn.","Data Science, AI Engineering, Design Thinking",https://www.linkedin.com/school/bryant-university/people/,Bryant University,Bryant
39,Worcester Polytechnic Institute,Private,"$61,790",5455,,"Transportation Equipment Manufacturing, Technology & Internet, Research Services","Boston, Hartford, Conn., New York City","SOLIDWORKS, Robotics, Manufacturing Operations",https://www.linkedin.com/school/worcester-polytechnic-institute/people/,Worcester Polytechnic Institute,WPI
40,The Pennsylvania State University,Public,"$20,644 (in-state); $41,790 (out-of-state)",42225,Top 5 school for knowledge breadth,"Technology & Internet, Transportation Equipment Manufacturing, Medical Practices","Philadelphia, New York City, Washington, D.C.","MATLAB, Architecture, Materials Science",https://www.linkedin.com/school/the-pennsylvania-state-university/people/,Pennsylvania State University,Penn State
41,California Institute of Technology,Private,"$65,622",990,Top 5 school for job placement and internships and recruiter demand,"Technology & Internet, Research Services, Transportation Equipment Manufacturing","San Francisco Bay Area, Los Angeles, New York City","Development Tools (OCaml, Haskell, x86 Assembly), AI Engineering, Robotics",https://www.linkedin.com/school/california-institute-of-technology/people/,California Institute of Technology,Caltech
42,Trinity College,Private,"$67,650",2160,,"Financial Services, Technology & Internet, Legal Services","New York City, Boston, Hartford, Conn.","MATLAB, Financial Modeling, Foreign Languages",https://www.linkedin.com/school/trinity-college/people/,Trinity College,Trinity-US
43,Boston University,Private,"$69,870",17745,,"Technology & Internet, Higher Education, Advertising Services","Boston, New York City, Los Angeles","OCaml, Avid Media Composer, Foreign Languages",https://www.linkedin.com/school/boston-university/people/,Boston University,BU
44,University of Richmond,Private,"$67,840",3055,,"Technology & Internet, Financial Services, Business Consulting & Services","New York City, Washington, D.C., Richmond, Va.","Data Science, Web Development, Research",https://www.linkedin.com/school/university-of-richmond/people/,University of Richmond,University Richmond
45,Stevens Institute of Technology,Private,"$63,010",4235,,"Transportation Equipment Manufacturing, Financial Services, Technology & Internet","New York City, Philadelphia, Washington,  D.C.","SOLIDWORKS, Scientific Computing, Aerospace Engineering",https://www.linkedin.com/school/stevens-institute-of-technology/people/,Stevens Institute of Technology,Stevens
46,The University of Texas at Austin,Public,"$10,858 (in-state); $42,554 (out-of-state)",42445,Top 5 school for knowledge breadth,"Technology & Internet, Medical Practices, Advertising Services","Austin, Texas, Dallas, Houston","SOLIDWORKS, Architecture, Avid Media Composer",https://www.linkedin.com/school/the-university-of-texas-at-austin/people/,University of Texas at Austin,UT Austin
47,Indiana University Bloomington,Public,"$12,386 (in-state); $42,728 (out-of-state)",36835,,"Technology & Internet, Accounting, Higher Education","Chicago, Indianapolis, Bloomington, Ind.","Human Computer Interaction, Foreign Languages, Nonprofit Management",https://www.linkedin.com/school/indiana-university-bloomington/people/,Indiana University - Bloomington,IU
48,Lafayette College,Private,"$64,496",2730,,"Financial Services, Technology & Internet, Legal Services","New York City, Philadelphia, Boston","Ansys Products, Stata, Data Science",https://www.linkedin.com/school/lafayette-college/people/,Lafayette College,Lafayette
49,Providence College,Private,"$64,870",4365,,"Financial Services, Accounting, Technology & Internet","Boston, New York City, Hartford, Conn.","FactSet, Health Policy, Foreign Languages",https://www.linkedin.com/school/providence-college/people/,Providence College,Providence
50,University of Wisconsin-Madison,Public,"$11,606 (in-state); $42,104 (out-of-state)",36900,Top 5 school for knowledge breadth,"Technology & Internet, Higher Education, Medical Practices","Madison, Wis., Chicago, Milwaukee","Scientific Computing, SOLIDWORKS, Financial Modeling",https://www.linkedin.com/school/university-of-wisconsin-madison/people/,University of Wisconsin-Madison,UW-Madison
