Position,Institution,Short name,Count,Share
5008,Central Connecticut State University,CCSU,2,0.38
5012,Florida Gulf Coast University,FGCU,6,0.37
5015,California State University-East Bay,CSUEB,20,0.37
5049,Columbia University Mailman School of Public Health,Mailman School,4,0.37
5083,Minnesota State University-Mankato,Minnesota State,4,0.36
5091,College of the Holy Cross,Holy Cross,2,0.36
5093,Clark University,Clark,3,0.36
5102,Touro University,Touro,4,0.35
5122,Nova Southeastern University,Nova,21,0.35
5128,Sacred Heart University,Sacred,3,0.35
5168,University of Hawaii System,UH System,3,0.34
5183,Loyola Marymount University,LMU,3,0.34
5195,Cooper Union for the Advancement of Science and Art,Cooper Union,4,0.34
5216,Washington and Lee University,Washington,1,0.33
5216,University of Nebraska at Kearney,UNK,1,0.33
5216,University of Mount Union,Mount Union,1,0.33
5222,Marshall University,Marshall,6,0.33
5247,Fort Lewis College,Fort,7,0.33
5284,University of San Diego,USD,2,0.32
5309,Gonzaga University,Gonzaga,2,0.32
5317,Texas Southern University,TSU,4,0.32
5351,University of Central Arkansas,UCA,2,0.31
5360,University Health System,University Health,1,0.31
5383,Winona State University,Winona State,3,0.3
5407,Wentworth Institute of Technology,WIT,2,0.3
5414,University of Maryland Eastern Shore,UMES,4,0.3
5431,Edward Via College of Osteopathic Medicine,VCOM,2,0.3
5434,Southern Oregon University,SOU,2,0.3
5445,DePaul University,DePaul,5,0.29
5459,Morehead State University,Morehead State,2,0.29
5480,University of Southern Maine,USM-2,6,0.29
5484,Lamar University,LU,6,0.29
5498,Yeshiva University,YU-2,3,0.29
5548,University of Tennessee at Chattanooga,UTC,2,0.28
5570,Ponce Health Sciences University,PHSU,3,0.27
5589,University of Wisconsin-Eau Claire,UW-Eau Claire,3,0.27
5610,Idaho State University,ISU,16,0.27
5611,University of Northern Iowa,UNI,1,0.27
5650,University of Louisiana at Monroe,ULM,14,0.26
5663,Cooper University Health Care,Cooper,6,0.26
5668,Mercer University,Mercer,7,0.26
5685,Westmont College,Westmont,37,0.26
5715,Manhattan College,MC,4,0.25
5726,Inter American University of Puerto Rico,UIPR,1,0.25
5726,University of Bridgeport,University Bridgeport,1,0.25
5726,Centre College,Centre,1,0.25
5726,State University of New York at Fredonia,SUNY Fredonia,1,0.25
5726,Westminster College,Westminster,1,0.25
5726,Angelo State University,Angelo State,1,0.25
5726,State University of New York,SUNY,1,0.25
5726,Hobart and William Smith Colleges,Hobart,1,0.25
5726,University of Wisconsin-Platteville,UW-Platteville,1,0.25
5726,Palmer College of Chiropractic,Palmer,1,0.25
5782,Southeastern Louisiana University,SELU,2,0.24
5791,Dominican University of California,Dominican,4,0.24
5802,Arkansas Tech University,Arkansas Tech,3,0.24
5833,Spelman College,Spelman,2,0.23
5871,Elon University,Elon,2,0.23
5888,Marshall B. Ketchum University,MBKU,3,0.23
5901,University of Wisconsin-Whitewater,UW-Whitewater,2,0.23
5906,Western New England University,WNE,2,0.22
5921,Knox College,Knox,1,0.22
5921,West Texas A and M University,WTAMU,1,0.22
5942,Eastern Michigan University,EMU,2,0.22
5981,Alabama State University,Alabama State,7,0.21
5982,University of Minnesota Medical Center,University Minnesota,3,0.21
5984,Lipscomb University,Lipscomb,2,0.21
5995,University of the Virgin Islands,UVI,13,0.21
6006,Philadelphia College of Osteopathic Medicine,PCOM,2,0.21
6032,Bethel University,Bethel,35,0.21
6073,Pacific University,Pacific,2,0.2
6083,A.T. Still University of Health Sciences,ATSU,2,0.2
6087,State University of New York at Geneseo,SUNY Geneseo,1,0.2
6087,Alabama College of Osteopathic Medicine,Alabama,1,0.2
6087,Washburn University,Washburn,1,0.2
6087,Rocky Vista University,RVU,1,0.2
6087,Pasadena City College,PCC,1,0.2
6087,Young Harris College,YHC,1,0.2
6087,Bridgewater College,Bridgewater,1,0.2
6087,Grinnell College,Grinnell,1,0.2
6087,Ross University School of Medicine,RUSM,1,0.2
6139,Chicago State University,Chicago State,20,0.19
6178,William Paterson University,WPUNJ,2,0.19
6219,Mount St. Mary's University,MSMU,2,0.18
6226,Elizabeth City State University,ECSU,1,0.18
6226,College of the Atlantic,COA,1,0.18
6230,Pepperdine University,Pepperdine,3,0.18
6240,Christopher Newport University,CNU,15,0.18
6259,Southern University and A&M College,SUBR,4,0.18
6268,Skidmore College,Skidmore,2,0.18
6275,Norfolk State University,NSU,20,0.18
6276,University of Arkansas at Pine Bluff,UAPB,2,0.18
6278,Kingston University,Kingston,4,0.18
6291,University of Maryland University College,UMUC,2,0.18
6313,Idaho College of Osteopathic Medicine,ICOM,2,0.17
6315,Ball State University,BSU,5,0.17
6327,California Lutheran University,CLU,2,0.17
6330,Hendrix College,Hendrix,2,0.17
6337,College of Menominee Nation,CMN,3,0.17
6340,Springfield College,Springfield,2,0.17
6364,St. Edward’s University,SEU,2,0.17
6375,Western Carolina University,Catamount,1,0.17
6375,University of Mary Washington,UMW,1,0.17
6375,Caldwell University,Caldwell,1,0.17
6375,Muskingum University,Muskingum,1,0.17
6375,Maryville College,Maryville College,1,0.17
6375,Florida Polytechnic University,FPoly,1,0.17
6375,State University of New York at Purchase,SUNY Purchase,1,0.17
6375,University of Medicine and Health Sciences,UMHS,1,0.17
6375,Lewis & Clark College,L&C,1,0.17
6377,Stephen F. Austin State University,SFA,3,0.17
6404,Hood College,Hood College,2,0.16
6453,Olin College of Engineering,Olin College,1,0.16
6517,University of Tampa,Tampa,3,0.15
6547,Howard University Hospital,HUH,2,0.15
6563,University of Puget Sound,UPS,2,0.15
6574,Fond du Lac Tribal and Community College,Fond,1,0.15
6585,Charles R. Drew University of Medicine and Science,CDU,4,0.14
6599,Black Hills State University,BHSU,5,0.14
6611,Franklin Pierce University,Franklin Pierce,1,0.14
6611,Murray State University,Murray State,1,0.14
6611,Snow College,Snow College,1,0.14
6611,Lynn University,Lynn,1,0.14
6611,Central New Mexico Community College,CNM,1,0.14
6611,City College of San Francisco,CCSF,1,0.14
6611,Norwich University,Norwich,1,0.14
6611,University of South Carolina-Aiken,USC Aiken,1,0.14
6611,Chemeketa Community College,Chemeketa,1,0.14
6611,Butte College,Butte,1,0.14
6611,Roanoke College,Roanoke,1,0.14
6611,University of Southern Indiana,USI,1,0.14
6611,Albright College,Albright,1,0.14
6649,Rhodes College,Rhodes,3,0.14
6722,Siena College,Siena,6,0.13
6784,Whitman College,Whitman,1,0.12
6784,Truman State University,Truman State,1,0.12
6784,Columbia College Chicago,Columbia College,1,0.12
6784,Southern Utah University,SUU,1,0.12
6784,California Health Sciences University,CHSU,1,0.12
6784,Eastern Washington University,EWU,1,0.12
6784,St. Lawrence University,St. Lawrence,1,0.12
6784,Liberty University,Liberty,1,0.12
6784,Nicholls State University,Nicholls State,1,0.12
6786,West Chester University of Pennsylvania,WCU,3,0.12
6894,Wilkes University,Wilkes,1,0.12
6899,University of Wisconsin - Green Bay,UWGB,3,0.12
6908,Dickinson State University,Dickinson State,2,0.12
6952,Chatham University,Chatham,2,0.11
6978,Pacific Lutheran University,PLU,1,0.11
6978,Regis University,Regis,1,0.11
6978,Cullen College of Engineering,Cullen,1,0.11
6978,Indiana University of Pennsylvania,IUP,1,0.11
6978,Saint Michael's College,SMC,1,0.11
6978,Des Moines University,DMU,1,0.11
6978,South Florida State College,SFSC,1,0.11
6978,Oral Roberts University,ORU,1,0.11
7034,Mount St. Joseph University,MSJ,1,0.11
7050,Massachusetts College of Pharmacy and Health Sciences,MCPHS,5,0.11
7072,University of Tennessee Space Institute,UTSI,2,0.1
7139,Oklahoma State University Medical Center,OSUMC,3,0.1
7145,Converse College,Converse College,1,0.1
7145,University of West Alabama,UWA,1,0.1
7145,Georgia Southwestern State University,GSW,1,0.1
7145,Northern Kentucky University,NKU,1,0.1
7145,American College of Chest Physicians,CHEST,1,0.1
7145,Virginia University of Integrative Medicine,VUIM,1,0.1
7145,University of Wisconsin-La Crosse,UW-L,1,0.1
7145,Elizabethtown College,E-town,1,0.1
7145,Northwest Indian College,Northwest,1,0.1
7145,Stonehill College,Stonehill,1,0.1
7145,Ashland University,Ashland,1,0.1
7145,Long Island University,LIU,1,0.1
7145,Frostburg State University,Frostburg State,1,0.1
7145,Marian University,Marian,1,0.1
7145,Rockhurst University,Rockhurst,1,0.1
7146,Saint Joseph's University,St. Joe's,3,0.1
7162,University of Kansas Health System,University Kansas,2,0.1
7190,Corban University,Corban,2,0.1
7213,University of West Georgia,UWG,2,0.09
7222,University Kidney Research Organization,UKRO,1,0.09
7251,State University of New York at Oswego,SUNY Oswego,15,0.09
7261,Youngstown State University,YSU,1,0.09
7261,University of Houston–Downtown,University Houston–Downtown,1,0.09
7261,Cedar Crest College,CCC,1,0.09
7261,Albion College,Albion,1,0.09
7261,University of Alaska Southeast,UAS,1,0.09
7272,California State University-Stanislaus,CSU Stanislaus,13,0.09
7357,Merrimack College,Merrimack,2,0.08
7357,Northwest Missouri State University,Northwest-2,1,0.08
7357,University of Alaska System,University Alaska,1,0.08
7357,California Northstate University,Northstate,2,0.08
7357,Whittier College,Whittier,1,0.08
7357,California State University-Bakersfield,CSU Bakersfield,1,0.08
7357,Russell Sage College,Russell,1,0.08
7357,Lincoln University of Missouri,Lincoln,1,0.08
7357,Gustavus Adolphus College,Gustavus,1,0.08
7357,University of Wisconsin-Stevens Point,UWSP,1,0.08
7357,Bemidji State University,Bemidji State,1,0.08
7357,Western Colorado University,Western-2,1,0.08
7357,Ohio Wesleyan University,OWU,1,0.08
7357,Shenandoah University,Shenandoah,1,0.08
7357,Connecticut College,Connecticut,1,0.08
7358,Austin Peay State University,APSU,2,0.08
7359,California State University-Sacramento,CSU Sacramento,42,0.08
7367,Arkansas State University,Arkansas State,2,0.08
7374,California State University-Dominguez Hills,CSUDH,4,0.08
7375,Lake Erie College of Osteopathic Medicine,LECOM,2,0.08
7405,California State University-Monterey Bay,CSUMB,10,0.08
7435,Hampton University,Hampton,27,0.08
7448,Rhode Island College,Rhode,2,0.08
7451,Heidelberg University,Heidelberg,8,0.08
7456,Central Washington University,CWU,3,0.08
7461,College of Wooster,Wooster College,1,0.08
7461,Morehouse College,Morehouse,1,0.08
7461,New Jersey City University,NJCU,1,0.08
7461,California State University-Chico,CSU Chico,1,0.08
7461,University of Puerto Rico at Humacao,UPRH,1,0.08
7462,Earlham College,Earlham,2,0.08
7504,Ellison Institute of Technology,Ellison,2,0.07
7523,Lewis and Clark Community College,Lewis,2,0.07
7542,College of Idaho,Idaho College,1,0.07
7542,Rose-Hulman Institute of Technology,RHIT,1,0.07
7542,Berry College,Berry College,1,0.07
7542,Baker University,Baker,1,0.07
7576,Western Connecticut State University,WCSU,2,0.07
7605,Eckerd College,Eckerd,2,0.07
7612,Nightingale College,Nightingale,1,0.07
7612,Lawrence University,Lawrence,1,0.07
7612,University of Central Oklahoma,UCO,1,0.07
7612,Soka University of America,Soka,1,0.07
7658,Winston-Salem State University,WSSU,1,0.06
7688,Hanover College,Hanover,1,0.06
7688,Alfred University,Alfred,1,0.06
7688,Madison Area Technical College,Madison College,1,0.06
7688,Alvernia University,Alvernia,1,0.06
7688,Tarrant County College,TCC,1,0.06
7688,Lake Forest College,Lake Forest,1,0.06
7751,Wheaton College,Wheaton,1,0.06
7751,Samuel Merritt University,Samuel,1,0.06
7751,Endicott College,Endicott,1,0.06
7751,University Medical Center,UMC,1,0.06
7751,University of St Thomas (TX),USTX,1,0.06
7751,Ohio Northern University,ONU,1,0.06
7791,Purdue University Northwest,PNW,45,0.06
7811,University of Detroit Mercy,UDM,1,0.06
7811,Cabrillo College,Cabrillo,1,0.06
7811,Kalamazoo College,Kalamazoo,1,0.06
7811,Presbyterian College,Presbyterian,1,0.06
7811,Spalding University,Spalding,1,0.06
7825,Pace University,Pace,2,0.05
7847,Fort Hays State University,FHSU,2,0.05
7863,South Carolina State University,SC State,1,0.05
7863,Sul Ross State University,SRSU,1,0.05
7863,Eastern Oregon University,EOU,1,0.05
7863,Westminster University,Westminster-2,1,0.05
7894,Clark Atlanta University,CAU,18,0.05
7915,Dominican University,Dominican-2,1,0.05
7915,Ripon College,Ripon,1,0.05
7915,Jacksonville State University,JSU,1,0.05
7915,Ursuline College,Ursuline,1,0.05
8000,Slippery Rock University,Slippery Rock,1,0.05
8000,Goshen College,Goshen,1,0.05
8000,Northwestern College,NWC,1,0.05
8001,University of Wisconsin-River Falls,UWRF,4,0.05
8008,Bryant University,Bryant,2,0.04
8043,Kansas City University,Kansas,1,0.04
8066,Touro College of Osteopathic Medicine,TouroCOM,2,0.04
8072,University of Missouri System,University Missouri,1,0.04
8072,Quinniplac University,Quinniplac,1,0.04
8088,Washington and Jefferson College,W&J,3,0.04
8125,Louisiana State University in Shreveport,LSUS,1,0.04
8125,McDaniel College,McDaniel,1,0.04
8156,Abilene Christian University,Abilene,5,0.04
8176,Dordt University,Dordt,3,0.04
8186,Roseman University of Health Sciences,RUHS,3,0.04
8229,Lincoln Memorial University,Lincoln-2,1,0.03
8253,Belmont University,Belmont,2,0.03
8253,Dickinson College,Dickinson,1,0.03
8253,University of Central Missouri,UCM,1,0.03
8253,Colby-Sawyer College,Colby-2,1,0.03
8294,Central State University,Central State,1,0.03
8294,Notre Dame of Maryland University,NDMU,1,0.03
8312,Bowie State University,Bowie State,1,0.03
8312,Houston Christian University,Houston,1,0.03
8326,Samford University,Samford,1,0.03
8326,College of Southern Nevada,CSN,1,0.03
8336,Santa Rosa Junior College,SRJC,1,0.03
8336,Cosumnes River College,Cosumnes,1,0.03
8336,Northeastern State University,Northeastern State,1,0.03
8359,Texas Woman's University,TWU,1,0.03
8359,Wagner College,Wagner,1,0.03
8371,Navajo Technical University,Navajo,1,0.03
8384,California Baptist University,CBU,1,0.02
8384,Dordt College,Dordt-2,1,0.02
8399,University of La Verne,La Verne,2,0.02
8400,Spokane Community College,SCC,2,0.02
8402,Messiah University,Messiah,1,0.02
8411,Concordia University Wisconsin,CUW,1,0.02
8411,University of Findlay,University Findlay,1,0.02
8417,University of South Carolina Upstate,USC Upstate,2,0.02
8426,University of Vermont Health Network,University Vermont,1,0.02
8433,Winthrop University,Winthrop,1,0.02
8438,Marist College,Marist,2,0.02
8441,Austin College,Austin,1,0.02
8454,Le Moyne College,Le,1,0.02
8454,Susquehanna University,Susquehanna,1,0.02
8459,Albany College of Pharmacy and Health Sciences,ACPHS,1,0.02
8459,Sewanee University of the South,Sewanee,1,0.02
8472,Sonoma State University,SSU,2,0.02
8487,Millersville University,Millersville,14,0.02
8496,William Jewell College,William-2,3,0.02
8497,Valdosta State University,Valdosta State,1,0.02
8498,Northern Michigan University,NMU,2,0.02
8503,William Carey University,WCU-2,1,0.02
8522,Riverside University Health System,Riverside,1,0.02
8522,University of Tennessee Southern,UT-Southern,1,0.02
8537,Northeastern Illinois University,NEIU,1,0.02
8544,University of California System,UC System,1,0.02
8578,University of Hawaii Maui College,UH Maui College,1,0.01
8622,Tennessee Tech University,TPI,1,0.01
8636,Concord University,Concord,1,0.01
8641,University of Arkansas System Division of Agriculture,UAEX,1,0.01
8643,Augustana University,Augustana,4,0.01
8656,Muhlenberg College,Muhlenberg,2,0.01
8658,University of North Carolina at Asheville,UNC Asheville,13,0.01
8658,Northern Vermont University-Lyndon,NVU-Lyndon,13,0.01
8658,Plymouth State University,Plymouth State,13,0.01
8658,St. Cloud State University,St-6,13,0.01
8658,Metropolitan State University of Denver,Metropolitan State,13,0.01
8658,Western Illinois University,WIU,13,0.01
8674,Widener University,Widener,1,0.01
8681,Lesley University,Lesley,1,0.01
8693,Hampshire College,Hampshire,1,0.01
8694,Alaska Pacific University,APU,1,0.01
8715,University of Dallas,UD-2,1,0.01
8720,Alabama A&M University,Alabama-2,14,0.01
8729,St. Norbert College,SNC,1,0.01
8775,American Public University System,APUS,1,0.01
8795,Washington College,WC,34,0.01
8810,Hartwick College,Hartwick,1,0.01
8831,Hillsdale College,Hillsdale,1,0.0
8839,Bridgewater State University,Bridgewater State,1,0.0
8842,Colorado Mesa University,Colorado,1,0.0
8870,Barry University,Barry,1,0.0
8877,Delaware Technical Community College,Delaware,1,0.0
8877,Wesley College,Wesley,1,0.0
8887,Canisius College,Canisius,1,0.0
8922,Langston University,Langston,1,0.0
8934,Ana G. Méndez University System,SUAGM,13,0.0
8942,Tougaloo College,Tougaloo,2,0.0
8945,Southern Nazarene University,SNU-2,1,0.0
8947,College of Saint Rose,College Saint,1,0.0
8966,West Liberty University,WLU,1,0.0
8968,Virginia State University,VSU,12,0.0
8978,Ottawa University,Ottawa,2,0.0
8988,California State University,CSU,1,0.0
8996,Tuskegee University,Tuskegee,13,0.0
9006,Eastern Kentucky University,EKU,1,0.0
9007,Eastern Mennonite University,Eastern-2,1,0.0
9008,State College of Florida,SCF,1,0.0
9013,Valley City State University,VCSU,1,0.0
9015,Simmons University,Simmons,1,0.0
9015,Walden University,Walden,1,0.0
9030,Xavier University,Xavier,1,0.0
0,Colleges / University below were missing from Nature,Missing,1,0.0
9785,American University of Paris,AUP,1,0.0
9786,Maine Maritime Academy,MMA,1,0.0
9787,California Institute of the Arts,CIA,1,0.0
9788,Notre Dame de Namur University,NDNU,1,0.0
9789,Miami University Oxford,Miami-OH,1,0.0
9790,Savannah College of Art and Design - Atlanta,Savannah-2,1,0.0
9791,University of British Columbia Okanagan,UBC-2,1,0.0
9792,Los Angeles Recording Workshop,LARW,1,0.0
9793,University of Oregon - Clark Honors College,UO-CHC,1,0.0
9794,University of Southern California - School of Cinematic Arts,USC-SCA,1,0.0
9795,Willamette University,Willamette,1,0.0
9796,Clarke University,Clarke,1,0.0
9797,Drake University,Drake,1,0.0
9798,City College of New York,CCNY,1,0.0
9799,Texas A & M University - Kingsville,TAMU-2,1,0.0
9800,Pontifical Catholic University of Puerto Rico,PCU,1,0.0
9801,Indiana University - Indianapolis,IU-2,1,0.0
9802,University of St Thomas (MN),USTMN,1,0.0
9803,Misericordia University,Misericordia,1,0.0
9804,Carson-Newman University,Carson-Newman,1,0.0
9805,Daemen University,Daemen,1,0.0
9806,Mississippi College,Mississippi-2,1,0.0
9807,St. Ambrose University,Ambrose,1,0.0
9808,University of Mary,U Mary,1,0.0
9809,Prairie View A&M University,Prairie View,1,0.0
9810,Campbell University,Campbell,1,0.0
9811,University of Lynchburg,Lynchburg,1,0.0
9812,Radford University,Radford,1,0.0
9813,Husson University,Husson,1,0.0
9814,Ferris State University,Ferris,1,0.0
9815,Point Park University,Point Park,1,0.0
9816,Kean University,Kean,1,0.0
9817,Concordia University - Irvine,Concordia,1,0.0
9818,University of Hartford,Hartford,1,0.0
9819,Oklahoma City University,OklaCity,1,0.0
9820,Immaculata University,Immaculata,1,0.0
9821,Harding University,Harding,1,0.0
9822,Edgewood University,Edgewood,1,0.0
9823,Bellarmine University,Bellarmine,1,0.0
9824,University of the Incarnate Word,Incarnate,1,0.0
9825,University of St. Francis,USF-2,1,0.0
9826,Saint Mary's University of Minnesota,SMUM,1,0.0
9827,Maryville University of St. Louis,Maryville-2,1,0.0
9828,George Fox University,George Fox,1,0.0
9829,DeSales University,DeSales,1,0.0
9830,College of St. Scholastica,Scholastica,1,0.0
9831,Aurora University,Aurora,1,0.0
9832,The Master's University and Seminary,Seminary,1,0.0
9833,Marymount University,Marymount,1,0.0
9834,Gwynedd Mercy University,Gwynedd,1,0.0
9835,Oakland City University,OakCity,1,0.0
9836,Gannon University,Gannon,1,0.0
9837,La Salle University,La Salle,1,0.0
9838,Union University,UnionU,1,0.0
9839,D'Youville University,DYU,1,0.0
9840,St. Catherine University,SCU-2,1,0.0
9841,Robert Morris University,Robert Morris,1,0.0
9842,Gallaudet University,Gallaudet,1,0.0
9843,Adelphi University,Adelphi,1,0.0
9844,St. John Fisher University,SJFU,1,0.0
9845,Landmark College,Landmark,1,0.0
9846,University of District of Columbia,UDC,1,0.0
9847,University of Silicon Valley,USV,1,0.0
9848,Western Oregon University,WOU,1,0.0
9849,Webb Institute,Webb,1,0.0
9850,University of the Arts London,UAL,1,0.0
9851,Southwestern University,SWU,1,0.0
9852,Seton Hall University,Seton,1,0.0
9853,Seattle Pacific University,SPU,1,0.0
9854,School of the Visual Arts,SVA,1,0.0
9855,School of the Art Institute of Chicago,SAIC,1,0.0
9856,Salve Regina University,Salve,1,0.0
9857,Salisbury University,Salisbury,1,0.0
9858,Saint Mary's College - Moraga California,Moraga,1,0.0
9859,Otis College of Art and Design,Otis,1,0.0
9860,Orange Coast College,Orange,1,0.0
9861,Oberlin Conservatory of Music,Oberlin-2,1,0.0
9862,North Carolina A & T State University,NCATSU,1,0.0
9863,Monmouth University,Monmouth,1,0.0
9864,Massachusetts College of Art and Design,MCAD,1,0.0
9865,Loyola University Maryland,LUM,1,0.0
9866,Loyola University New Orleans,LUNO,1,0.0
9867,Laguna College of Art and Design,Laguna,1,0.0
9868,Holy Names University,Names,1,0.0
9869,Evergreen State College,Evergreen,1,0.0
9870,Emmanuel College,Emmanuel,1,0.0
9871,Eastern Connecticut State University,ECSU-2,1,0.0
9872,Capitol Technology University,Capitol,1,0.0
9873,UC Davis Continuing Professional Education,UC Professional,1,0.0
9874,California State University - Channel Islands,Channel Islands,1,0.0
9875,California State University - Maritime Academy,Maritime,1,0.0
9876,Bradley University,Bradley,1,0.0
9877,Biola University,Biola,1,0.0
9878,Berklee College of Music,Berklee,1,0.0
9879,Azusa Pacific University,APU-2,1,0.0
9880,Augustana College,Augustana-2,1,0.0
9881,Agnes Scott College,Agnes,1,0.0
9882,University of Aarhus,Aarhus,1,0.0
9883,Woodbury University,Woodbury,1,0.0
9884,Wesleyan College,Wesleyan-2,1,0.0
9885,St. John's College,SJC-2,1,0.0
9886,Savannah College of Art & Design,Savannah,1,0.0
9887,Santa Monica College,Santa-2,1,0.0
9888,Rhode Island School of Design,RISD,1,0.0
9889,Mills College,Mills,1,0.0
9890,Menlo College,Menlo,1,0.0
9891,Las Positas College,Positas,1,0.0
9892,Goucher College,Goucher,1,0.0
9893,Gettysburg College,Gettysburg,1,0.0
9894,Fashion Institute of Technology,FashionTech,1,0.0
9895,Fashion Institute of Design & Merchandising,FIDM,1,0.0
9896,Emerson College,Emerson,1,0.0
9897,Delgado Community College,Delgado,1,0.0
9898,University of California Los Angeles Extension,UC Extension,1,0.0
9899,California College of the Arts,CCA,1,0.0
9990,Bentley University,Bentley,1,0.0
9991,Los Angeles Film School,LA Film,1,0.0
9992,Santa Barbara City College,Barbara,1,0.0
9993,Chabot College,Chabot,1,0.0
9994,Berkeley City College,BCC,1,0.0
9995,Diablo Valley College,DVC,1,0.0
9996,University of Redlands,Redlands,1,0.0
9997,"University of Washington, Tacoma",Tacoma,1,0.0
9998,Babson College,Babson,1,0.0
9999,University of Western Ontario,UWO,1,0.0